[2022-12-19 23:25:03,101]:INFO:iter:39, batch_loss==mmLoss:0.0,dloss:0.02263566250585427===
[2022-12-19 23:25:11,985]:INFO:iter:40, batch_loss==mmLoss:0.0,dloss:0.04352428364800289===
[2022-12-19 23:25:49,142]:INFO:iter:40,original:--P:0.04950495049504951,--R:0.2463768115942029,--F:0.08244422890397672
[2022-12-19 23:25:57,327]:INFO:iter:41, batch_loss==mmLoss:0.0,dloss:0.03396201593143022===
[2022-12-19 23:26:05,775]:INFO:iter:42, batch_loss==mmLoss:0.0,dloss:0.02238418874546122===
[2022-12-19 23:26:14,625]:INFO:iter:43, batch_loss==mmLoss:0.0,dloss:0.028842079170613745===
[2022-12-19 23:26:23,203]:INFO:iter:44, batch_loss==mmLoss:0.0,dloss:0.03955098957521841===
[2022-12-19 23:26:32,350]:INFO:iter:45, batch_loss==mmLoss:0.0,dloss:0.03737481345060587===
[2022-12-19 23:26:41,064]:INFO:iter:46, batch_loss==mmLoss:0.0,dloss:0.02909109743377485===
[2022-12-19 23:26:49,595]:INFO:iter:47, batch_loss==mmLoss:0.0,dloss:0.05004978172364645===
[2022-12-19 23:26:57,748]:INFO:iter:48, batch_loss==mmLoss:0.0,dloss:0.044239442903199235===
[2022-12-19 23:27:06,189]:INFO:iter:49, batch_loss==mmLoss:0.0,dloss:0.021385916924791103===
[2022-12-19 23:27:14,599]:INFO:iter:50, batch_loss==mmLoss:0.0,dloss:0.0489348909941917===
[2022-12-19 23:27:23,405]:INFO:iter:51, batch_loss==mmLoss:0.0,dloss:0.047350054509821125===
[2022-12-19 23:27:31,862]:INFO:iter:52, batch_loss==mmLoss:0.0,dloss:0.03659761302074536===
[2022-12-19 23:27:40,109]:INFO:iter:53, batch_loss==mmLoss:0.0,dloss:0.03313130462775007===
[2022-12-19 23:27:48,616]:INFO:iter:54, batch_loss==mmLoss:0.0,dloss:0.03885553639514523===
[2022-12-19 23:27:57,396]:INFO:iter:55, batch_loss==mmLoss:0.0,dloss:0.05417588478661077===
[2022-12-19 23:28:05,473]:INFO:iter:56, batch_loss==mmLoss:0.0,dloss:0.03851204668171704===
[2022-12-19 23:28:13,799]:INFO:iter:57, batch_loss==mmLoss:0.0,dloss:0.023071259317331404===
[2022-12-19 23:28:23,190]:INFO:iter:58, batch_loss==mmLoss:0.0,dloss:0.055051115412061334===
[2022-12-19 23:28:31,908]:INFO:iter:59, batch_loss==mmLoss:0.0,dloss:0.04218732756444297===
[2022-12-19 23:28:40,656]:INFO:iter:60, batch_loss==mmLoss:0.0,dloss:0.032947571395982325===
[2022-12-19 23:29:19,014]:INFO:iter:60,original:--P:0.0453091684434968,--R:0.2463768115942029,--F:0.07654209815398469
[2022-12-19 23:29:27,745]:INFO:iter:61, batch_loss==mmLoss:0.0,dloss:0.048644827761291955===
[2022-12-19 23:29:36,570]:INFO:iter:62, batch_loss==mmLoss:0.0,dloss:0.04142725445446409===
[2022-12-19 23:29:44,580]:INFO:iter:63, batch_loss==mmLoss:0.0,dloss:0.036989498878756424===
[2022-12-19 23:29:53,157]:INFO:iter:64, batch_loss==mmLoss:0.0,dloss:0.03158286665025689===
[2022-12-19 23:30:01,973]:INFO:iter:65, batch_loss==mmLoss:0.0,dloss:0.04639723655028973===
[2022-12-19 23:30:10,645]:INFO:iter:66, batch_loss==mmLoss:0.0,dloss:0.043059739081945735===
